City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
115,berezovyy,51.6667,135.7,-1.35,93,100,3.83,RU,1682032898
116,buka,40.8108,69.1986,11.15,54,53,1.37,UZ,1682032898
117,severo-yeniseyskiy,60.3725,93.0408,-18.71,100,86,1.7,RU,1682032898
118,puerto ayora,-0.7393,-90.3518,28.08,88,82,2.68,EC,1682032898
119,kupang,-10.1667,123.5833,25.32,69,20,3.09,ID,1682032898
120,kayangel,8.0823,134.7173,28.38,76,99,4.75,PW,1682032899
121,comodoro rivadavia,-45.8667,-67.5,20.92,21,0,4.12,AR,1682032899
122,calvinia,-31.4707,19.776,6.8,81,61,0.84,ZA,1682032899
123,kalmunai,7.4167,81.8167,25.83,85,34,3.33,LK,1682032899
124,novaya igirma,57.1334,103.9112,-5.86,92,100,2.24,RU,1682032899
125,mount sterling,38.0565,-83.9433,27.03,26,0,4.12,US,1682032899
126,fisterra,42.9049,-9.2629,10.57,78,97,4.25,ES,1682032899
127,touros,-5.1989,-35.4608,26.19,77,90,4.48,BR,1682032899
128,wailua homesteads,22.0669,-159.378,26.24,75,0,3.6,US,1682032900
129,bredasdorp,-34.5322,20.0403,12.11,69,79,2.47,ZA,1682032900
130,chonchi,-42.6128,-73.8092,10.62,95,100,0.28,CL,1682032900
131,peruibe,-24.32,-46.9983,16.95,74,0,1.34,BR,1682032900
132,polyarnyy,69.1989,33.4478,2.59,88,99,9.48,RU,1682032900
133,champion heights,41.29,-80.8459,27.24,22,75,4.63,US,1682032900
134,dengi,9.3667,9.95,29.54,53,66,4.67,NG,1682032900
135,walvis bay,-22.9575,14.5053,15.61,87,0,5.75,NA,1682032900
136,ilulissat,69.2167,-51.1,-1.99,59,69,2.06,GL,1682032900
137,freetown,8.484,-13.2299,26.86,83,85,1.63,SL,1682032900
138,arraial do cabo,-22.9661,-42.0278,22.98,64,40,5.66,BR,1682032900
139,pacific grove,36.6177,-121.9166,20.5,61,0,3.13,US,1682032900
140,labrador city,52.9463,-66.9114,0.95,75,75,3.09,CA,1682032900
141,high rock,26.6208,-78.2833,24.01,73,6,7.17,BS,1682032901
142,kyzylorda,44.8528,65.5092,7.01,45,0,6.0,KZ,1682032901
143,jamestown,42.097,-79.2353,23.8,33,0,5.14,US,1682032901
144,gremyachinsk,58.5603,57.851,-0.35,78,90,1.22,RU,1682032901
145,carroll,39.5501,-77.0164,26.62,54,17,1.79,US,1682032901
146,buala,-8.145,159.5921,28.94,70,58,0.98,SB,1682032901
147,hornell,42.3279,-77.6611,22.86,47,79,2.24,US,1682032798
148,tralee,52.2704,-9.7026,5.39,88,1,3.28,IE,1682032901
149,bardai,11.65,7.2333,30.38,15,9,2.87,NG,1682032901
150,al hazm,16.1641,44.7769,25.49,45,7,0.76,YE,1682032901
151,tobati,-25.25,-57.0667,15.9,56,0,1.71,PY,1682032901
152,ajdabiya,30.7554,20.2263,22.08,25,100,7.76,LY,1682032901
153,luderitz,-26.6481,15.1594,14.54,70,74,7.88,NA,1682032901
154,afaahiti,-17.75,-149.2833,29.93,81,100,10.64,PF,1682032901
155,saint-pierre,-21.3393,55.4781,25.82,69,75,2.06,RE,1682032901
156,udachny,66.4167,112.4,-13.19,99,98,1.53,RU,1682032901
157,stanley,54.868,-1.6985,6.55,89,0,4.12,GB,1682032902
158,shingu,33.7333,135.9833,19.21,68,100,1.52,JP,1682032902
159,vega de alatorre,20.0333,-96.6333,27.98,80,34,3.77,MX,1682032902
160,cabo san lucas,22.8909,-109.9124,28.17,50,75,2.06,MX,1682032628
161,palikir - national government center,6.9248,158.1611,27.47,83,100,5.14,FM,1682032902
162,loukhi,66.0764,33.0381,2.43,97,98,3.67,RU,1682032902
163,birao,10.2849,22.7882,28.09,11,35,2.22,CF,1682032902
164,sao joao da barra,-21.6403,-41.0511,24.05,65,90,8.35,BR,1682032902
165,recani,31.2846,-4.2688,18.7,52,98,11.23,MA,1682032902
166,vorgashor,67.5833,63.95,-2.58,97,99,3.33,RU,1682032902
167,misratah,32.3754,15.0925,23.42,45,100,7.77,LY,1682032902
168,bodo,67.28,14.405,6.02,99,100,7.72,NO,1682032902
169,susuman,62.7833,148.1667,-6.75,83,100,2.43,RU,1682032902
170,badger,64.8,-147.5333,6.14,49,20,1.54,US,1682032902
171,bubaque,11.2833,-15.8333,25.38,73,98,10.17,GW,1682032902
172,mirny,62.5353,113.9611,-8.2,57,100,1.79,RU,1682032902
173,laojunmiao,39.8333,97.7333,0.93,35,100,3.84,CN,1682032903
174,itoman,26.1247,127.6694,24.01,90,75,5.66,JP,1682032903
175,san julian,21.0167,-102.1667,30.02,11,60,6.76,MX,1682032903
176,yarumal,6.9632,-75.4174,13.42,99,100,0.66,CO,1682032903
177,hawaiian paradise park,19.5933,-154.9731,28.18,79,0,4.12,US,1682032903
178,haiku-pauwela,20.9219,-156.3051,25.65,77,75,5.66,US,1682032903
179,qandala,11.472,49.8728,28.02,66,8,0.64,SO,1682032903
180,port elizabeth,-33.918,25.5701,15.16,71,0,10.8,ZA,1682032903
181,sao jose da coroa grande,-8.8978,-35.1478,26.44,76,7,4.31,BR,1682032903
182,porto murtinho,-21.6989,-57.8825,18.09,73,0,2.24,BR,1682032903
183,kailua-kona,19.6406,-155.9956,29.04,78,40,4.12,US,1682032903
184,kangding,30.0513,101.9603,10.54,96,95,0.95,CN,1682032903
185,bel ombre,-4.6167,55.4167,26.91,83,20,0.51,SC,1682032903
186,diapaga,12.0708,1.7889,34.47,12,81,0.87,BF,1682032903
187,tadine,-21.55,167.8833,26.64,72,15,1.26,NC,1682032903
188,kirensk,57.7853,108.1119,-6.57,89,99,1.66,RU,1682032904
189,atafu village,-8.5421,-172.5159,28.59,72,62,2.72,TK,1682032904
190,taoudenni,22.6783,-3.9836,28.21,14,42,4.6,ML,1682032904
